mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
20.677719056606293,0.4459041028455231,0.093780517578125,0.035974827002189194,150,7,4,0.5,20,"{'n_estimators': 150, 'min_samples_split': 7, 'min_samples_leaf': 4, 'max_features': 0.5, 'max_depth': 20}",0.35975249308810614,0.4040500699822645,0.3993645336545834,0.4046222155790665,0.3919473280760052,0.01869927454045829,56
0.8524097800254822,0.32756687845676585,0.07707923650741577,0.02679211175814846,150,5,2,log2,20,"{'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 20}",0.44457815318721666,0.4143388513660043,0.4233282351954342,0.43308580609538516,0.4288327614610101,0.01125143311454375,37
6.786604046821594,0.22735500547695142,0.2737700939178467,0.013611852352104319,400,10,2,sqrt,15,"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 15}",0.404697382486204,0.4127430704383103,0.4250257289184674,0.44212400027273585,0.42114754552892936,0.014109349964677087,46
2.067029356956482,0.031115882474858084,0.1383865475654602,0.007717215738515902,200,15,2,log2,15,"{'n_estimators': 200, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 15}",0.4426840026186704,0.4171242436713943,0.42277834865942654,0.42523432542370604,0.42695523009329933,0.009545292433668664,39
91.98113584518433,1.0928057366653532,0.23813962936401367,0.014533282306064144,250,20,4,0.5,30,"{'n_estimators': 250, 'min_samples_split': 20, 'min_samples_leaf': 4, 'max_features': 0.5, 'max_depth': 30}",0.4496417185268195,0.4634792442029652,0.4230588459258915,0.4385078127376516,0.44367190534833195,0.014828481152271233,26
5.608981251716614,0.18397972441594637,0.2056516408920288,0.002106617897820898,200,5,3,sqrt,40,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 40}",0.44586154017506785,0.4458880223094161,0.4587743563970564,0.47043468089133683,0.4552396499432193,0.010232118517856608,19
3.6511831879615784,0.11722203595089035,0.1454014778137207,0.013682847417465529,100,10,5,sqrt,,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': None}",0.46102077771572314,0.4450160329568392,0.46825065846831676,0.4589857089651787,0.45831829452651446,0.00841651462544571,17
5.655454218387604,0.13993255208128394,0.2190675139427185,0.014363971068821754,250,20,3,sqrt,30,"{'n_estimators': 250, 'min_samples_split': 20, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 30}",0.4251856524171823,0.4329079038875088,0.44423460870744413,0.4582631927031804,0.4401478394288289,0.012461454712483869,30
3.374077796936035,0.08135740564682074,0.24417132139205933,0.02233573479735065,300,20,2,log2,15,"{'n_estimators': 300, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 15}",0.44143753342489395,0.41978031952391237,0.4419415405655401,0.4444060212131846,0.43689135368188275,0.009942709086019533,34
92.55547899007797,0.39423185676074324,0.2793084383010864,0.018087553709518464,300,10,7,0.5,25,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 7, 'max_features': 0.5, 'max_depth': 25}",0.409849537755414,0.43039415020189775,0.41106546305603037,0.41043338608497104,0.4154356342745783,0.008647001741921055,51
53.398805260658264,0.3146173147436047,0.05313962697982788,0.008299488106103842,100,10,7,0.5,,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 7, 'max_features': 0.5, 'max_depth': None}",0.469466624370315,0.4845791905900627,0.4887348796704858,0.4661789390828055,0.47723990842841724,0.009601671917129061,13
87.62976837158203,0.5074345310467125,0.2137523889541626,0.010153432084571682,200,10,5,0.5,35,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 0.5, 'max_depth': 35}",0.46035147104927,0.4925975111241184,0.47768403591207775,0.4924408971921787,0.48076847881941126,0.013252729438396206,9
